id,original_text,reconstructed_text,similarity_score,bleu_score,meteor_score
34335512,"Yuknoom Chʼeen II (September 11, 600 – 680s), known as Yuknoom the Great, was a Maya ruler of the Kaan kingdom, which had its capital at Calakmul during the Classic Period of Mesoamerican chronology.","Heraclius Constans II (September 11, 600 – 680s), known as Konstas the Bearded, was a Roman emperor of the Roman Empire, which had its capital at Syracuse during the Heraclian Dynasty of Thessalonica's fortunes.",0.34134376,0.35916651249908405,0.6062091503267975
43869726,Rats and Cats is a 2007 Australian comedy film directed by Tony Rogers and starring Adam Zwar and Jason Gann.,"Lions for Lambs is a 2007 American political drama film directed by Robert Redford and starring Robert Redford, Meryl Streep and Tom Cruise.",0.3861865,0.08066974340737668,0.4238885848081251
52082793,Corinne Lagache  (born 9 December 1975 in Caen) is a French footballer who played as a goalkeeper for the France women's national football team. She was part of the team at the UEFA Women's Euro 2001. On club level she played for La Roche ESOF in France.,Steffi Jones (born 9 December 1975 in Bonn) is a German defender who played as a defender for the German women's national football team. She was part of the team at the UEFA Women's Euro 2001. On her return she played for SC Bad Neuenahr in Germany.,0.32230812,0.5260142436797992,0.7202477361407642
8273434,"World Cup For the World cup 1995 only teams from EURO 1994 qualified so again team Macedonian did not get a chance to participate.  At the World Cup's they entered 8 times – 1999, 2009, 2013, 2015, 2017, 2019, 2021 and 2023. The most successful was in 2015 when they finished 9th.","Power Pop For the debut set 1995 album sales from Late 1994 plummeted so badly that Polygram did not get a chance to recuperate. At the Power Pop's they released 8 albums – 1999, 2009, 2013, 2015, 2017, 2019, 2021 and 2023. The best performance was in 2015 when they finished 9th.",0.18000624,0.42457823593875565,0.6427751530476444
37897173,Scopula inactuosa is a moth of the  family Geometridae. It is found on Sumbawa.,English literature is a form of the global literature. It is based on England.,0.0398667,0.05437427682227521,0.5563616071428571
28985107,"The site is to the northeast of the village of Middle Winterslow, and falls mostly within the county of Hampshire, and partly within the county of Wiltshire.","The peak is to the northwest of the western section of Mount Washington, and lies mainly within the county of Merrimack, and partly within the county of Strafford.",0.35158885,0.325909498033977,0.6446745023005785
29512629,"The Gruvleflesa Knolls () are two low rock knolls rising above the Antarctic glacial moraine west of the Gruvletindane Crags, in the Kurze Mountains of Queen Maud Land. They were mapped from surveys and air photos by the Sixth Norwegian Antarctic Expedition (1956–60) and named Gruvleflesa.","The Southernmost Ranges () are the only high ranges rising above the Antarctic exposed bedrock mass of the Transantarctic Range, in the Queen Elizabeth Land of West Antarctica.
They were named from surveys and air photos by the United States Geological Survey (1956–60) and called Transantarctic.",0.36974326,0.23648911322745184,0.5460428222102941
65425941,"In 1906 he was finally able to abandon tailoring work, becoming instead a salaried party official, working in nearby Hildesheim and Alfeld. Two years later, in 1908, he was elected to membership of the Delligsen municipal council. He was by now gaining a reputation in the region as an effective political orator (or ""agitator""). He took a leading role in Labour movement demonstrations, campaigning powerfully for democratic state elections, which meant campaigning against the infamous ""Dreiklassenwahlrecht"" (literally ""Three-class voting entitlement""), whereby the 80% of voters paying the lowest amounts in tax had the same levels of influence in election results as the richest 5% paying the highest amounts.  (The precise proportions varied slightly over time according to tax rates and levels of prosperity, but the underlying inequality would endure till 1918.)","In 1906 he was elected back to assume parliamentary work, representing himself a limited rural district, voting in remote Derbyshire and London. Two years later, in 1908, he was appointed to professorship of the London School Economic Science. He was by now making a reputation in the field as an influential economic thinker (or ""economist""). He took a leading part in London municipal governance, advocating reforms for combating slum housing, which often campaigning against the doctrine ""Regressivity-Proportionality"" (meaning ""Large-scale social Inequality""), whereby the 80% of people owning the fewest assets in tax pay the same amount of taxation in proportion terms as the richest 5% owning the greatest assets. (The Liberal government passed legislation over social programs to the poor and needy of cities, but the following legislation would prevail till 1918.)",0.55334663,0.19653259361863123,0.49214476706900473
40673733,"Patricia Elisabeth Cladis (July 13, 1937 – July 3, 2017) was a Canadian-American physicist who specialized in the physics of liquid crystals. She was a research physicist at Bell Labs in Murray Hill, New Jersey from 1972 to 1997 before founding Advanced Liquid Crystal Technologies in Summit, New Jersey. She was a fellow of the American Physical Society and also received a Guggenheim fellowship.","Patricia Goldman Rakic (June 13, 1937 – July 31, 2003) was an American-Canadian neuroscientist who specialized in the science of working memory. She was a distinguished professor at Yale University in New Haven, Connecticut from 1972 to 1997 before becoming Founding Director, Connecticut Center for Research in Neuroscience in New Haven, Connecticut. She was a member of the National Research Council and also received a Presidential Medal.",0.37709767,0.2052859687249984,0.5007839527723998
357414,"2008 also saw additional expansion at NABI's Anniston plant with the installation of a new, robotic paint system. This expansion took the Anniston plant to approximately 1/3 million square feet under roof, not including adjacent leased facilities used for manufacture of standard-floor unfinished buses.","2008 also saw the completed expansion at Ford's Dearborn plant with the construction of a new, massive press floor. This expansion made the Dearborn plant consolidating 1/3 overall volume that was under load, not including existing shared production used for development of platform-based components and dies.",0.39973032,0.06407123783602851,0.45735013649452155
